,tweet
1098,pfe results plz
1099,pfe
1100,pfe
1101,pfe market bubble follow michael burry
1102,pfe possible earnings seems wishful thinking earning spike earning looks plumb billion doses accounts almost b revenue small thing company short duration
1103,pfe
1104,pfe someone explain possible call lost days stock goes
1105,pfe cyclical stocks rise cyclical stocks new growth stock
1106,pfe still sitting waiting itll probably gets lol
1107,pfe turd gets real freedom going close held many months suppressed months
1108,pfe acid test today close stay next week well lets hope usual rug pull friday
1109,pfe someone awoken sleeping beast
1110,pfe finally running due technicals lagging long uptrend passed ema ema ema crosses ema boom breakout get dont assume price high regret later month two good long term outlook next months
1111,ocgn sbbp strongbridge biopharma catalyst looming fda approval time httpsseekingalphacomnewsstrongbridgegainsondetailedphaseresultsforrecorlevincushingssyndrome solid bio share going climb exponentially news know gain fda approval dd techs data super srtong seriously sound opportunity buy current dipped price point get folks mark words happening soon huge climb coming lgp united kingdom azn pfe mrna
1112,pfe yes keep moving baby
1113,pfe run
1114,pfe holddddd
1115,pfe breaking bebeeeeee
1116,pfe soon
1117,pfe well strike calls hit today im gonna take margin call roll dice worth selling wish luck
1118,wmt aapl xpev pfe
1119,pfe st pfizer shot todayso farso good
1120,pfe would like see employees co get vaccinated vaccine mandatory co policy including executives
1121,pfe reminder new investors pfe dont get hopes
1122,mrna well least dropping like rock considering friday bntx nvax pfe
1123,pfe part
1124,pfe break wall good shorties needs go somewhere else
1125,pfe got alert guess time short
1126,pfe break dirty slut
1127,pfe need volume
1128,pfe mms playing games slowing buying shares price dropping much also exploding need break fly
1129,pfe one best buy right
1130,pfe eck jan contracts still today
1131,pfe biontechs marburg facility gets ema approval boosting covid vaccine production capacity billion doses year published march et
1132,editors choice big year gains smallcap investors itching cash hedgopia iwm qqq also pfe httpsbitlypbbal
1133,sweepcast observed pfe unusual options activity alerted call expiring worth k see profile link amp learn unusual options activity
1134,pfe breaks free heading quickly
1135,pfe admit watching paint dry interesting watching daily ppa jeez loiuse
1136,hgen probably last time youll see cheapies pfizer others running studies plans test analyze efficacy booster shots covid pfe mrna nvax others race pretty much make vaccines covid variants im hopeful successful slow system provide mass vaccination add hesitation get vaccinated among many therapeutics lenz others game changer c lenz described variant independent httpsirhumanigencomresourcesfactsheetsdefaultaspx
1137,pfe keep goin buddy
1138,large print pfe size price time amount
1139,pfe crooks decayed calls last week loading pump pos moon get enough calls fk men
1140,pfe showing strong bullish pattern great buy signal
1141,pfe production ramped vaccine stored normal temperature c billion doses ordered need deliver confirm annual shot needed golden
1142,pfe fake ticker swear wall st using money booze strippers
1143,govx update today days jason mccarthy maxim group quotthanks taking questions think question directed mark newman mentioned someone mentioned part interaction nih regulators general understand need another variation covid vaccine talk little bit mva vlps get cells b cells antibodies need cells really mrna vaccines immunology circles nobody really believes get anything antibodies get nothing days seems like regulators aware theyre public elaborate little bit quot httpsselectionnewyorkblogspotcomgovxgeovaxcovidvaccineprogramishtml selected tickers vxrt htbx imv nvax pfe
1144,pfe going slowlyl surely
1145,pfe big shit two weeks
1146,pfe im upgrading pfizer stock price target gt september
1147,pfe alpmy receives positive chmp opinion xtandi enzalutamide patients metastatic hormonesensitive prostate cancer httpswwwbriefingcomindepthanalysiscontentarticlearticleidinpfe
1148,pfe biontech provides update vaccine production stats marburg manufacturing site says european medicines agency approved manufacturing site
1149,pfe never
1150,bntx ive always maintained pfe diverting vaccine profits production cost simply cannot really c vaccine makes losing billions especially vector vaccines expensive produce im wondering bntx handle profit guidance come earnings dont report something similar would spell big trouble bourla lot harder impossible bntx divert mountain cash like thoughts
1151,pfe market blows gold storage approval blowing one crazy edt mt newswires astellas pharma inc said friday european medicines agency ema adopted positive opinion recommending additional indication oral oncedaily therapy xtandi enzalutamide treatment metastatic hormonesensitive prostate cancer
1152,pfe huge news didnt spike flipping fridays lol edt mt newswires astellas pharma inc said friday european medicines agency ema adopted positive opinion recommending additional indication oral oncedaily therapy xtandi enzalutamide treatment metastatic hormonesensitive prostate cancer
1153,azn pfe mrna jnj great news finally eu stopped blaming oxford astrazeneca everything approved new plants one astra one pfizer one moderna shouldve done alongpositive action httpswwwemaeuropaeuennewsincreasevaccinemanufacturingcapacitysupplycovidvaccinesastrazenecabiontechpfizermoderna
1154,fstx pfe time move target
1155,pfe run fat horun
1156,pfe
1157,opk sports leagues schools whenever ready reopen using testing kits pfe gnmk
1158,bntx pfe httpswwwchartmillcomnewsbntxglobenewsemaapprovesnewstorageoptionforpfizerbiontechvaccineeasingdistributionandstorageofdosesacrosseuropeanunion great news right time millions vials transferred soon clinics outpatient facilities inside eu worldwide nvax mrna ino
1159,pfe damn went first thing never happens
1160,bntx pfe marburg facility cleared httpsfinanceyahoocomnewseuclearsvaccinesiteshtml
1161,pfe going long grinding day game changer earnings approaching stock deeply miss priced
1162,opk strong balance sheet anything else bonus dont listen bears suits hodl pfe gnmk
1163,pfe honestly imo breaks today closes great news storage today pfizer best vaccine date makes better
1164,pfe actual game changer quotpfizer biontech gets ema approval new covid vaccine storage rules
1165,pfe going dollar today game changer
1166,pfe new article ema approves new storage option pfizerbiontech covid vaccine httpswwwstckpronewspfe
1167,pfe big trade shares
1168,large print pfe size price time amount
1169,pfe bntx ema approves new storage option pfizerbiontech covid vaccine httpsnewsfilterioaacbffefcddcfb
1170,labu regn pfe yet meet ceo integrity money integrity near impossible together possess
1171,pfe study evaluate safety immunogenicity nimenrix healthy infants given months age nct httpsnewsfilterioaaffacbefabcb
1172,pfe ema approves new storage option pfizerbiontech vaccine easing distribution storage doses across european union httpswwwotcdynamicscompfeemaapprovesnewstorageoptionforpfizerbiontechvaccineeasingdistributionandstorageofdosesacrosseuropeanunion
1173,pfe delayed issued press release march ema approves new storage option pfizerbiontech vaccine easing distr httpssflashalertmepxkcdq
1174,nvax pfe azn jnj could take ocgn
1175,ocgn year later taking nvax pfe azn jnj
1176,pfe buy new article bioreference laboratories expands covid school testing program stckpronewsopk
1177,pfe although charts screaming valued dont think gets er
1178,pfe spy jnj bad hedge funds amp pfizer amp ftc screw long term bag holders today like havent already done enough damage im thinking
1179,atnf future treatments q going great see around pfe
1180,pfe astellas pfizers xtandi gets ema positive opinion additional indication httpsnewsfilterioabaeebadbdefed
1181,azn jnj mrna pfe bntx rutgers would
1182,pfe delayed issued press release march astellas receives positive chmp opinion xtandi enzalutamide pa httpssflashalertmequtugo
1183,labu regn pfe smug hole scott gottlieb cnbc hes instant stomach pump sits pfizers board reaping huge dividends postulating virus knowledge could pompous little twerp history biotech classic nerd know gawd hope people see thru dick nice day
1184,wework back spac mrna pfe azn nvax goog httpsnewsfilterioacbfeae
1185,pfe astellas receives positive chmp opinion xtandi enzalutamide patients metastatic hormonesens httpswwwchartmillcomstockquotepfenewsutmsourcestocktwitsamputmmediumpressreleaseamputmcontentpfeamputmcampaignsocialtracking
1186,pfe astellas receives positive chmp opinion xtandi patients metastatic hormonesensitive prostate cancer httpsnewsfilterioaefeeaadae
1187,pfe astellas receives positive chmp opinion xtandi enzalutamide patients metastatic hormonesensitive prostate cancer httpsquantisnowcominsightss majorpharmaceuticals healthcare
1188,pfe astellas receives positive chmp opinion xtandi enzalutamide patients metastatic hormonesensitive prostate cancer httpswwwstocktitannetnewspfeastellasreceivespositivechmpopinionforxtandienzalutamideforfvuyygghtml cancer
1189,aspira extends gains analysts weigh flexion benefit pfizers failure osteoarthritis drug analyst action awh flxn pfe lly dva httpsnewsfilterioaefcecbefaba
1190,pfizers pt cut svb leerink llc market perform rating httpswwwmarketbeatcomr pfe
1191,pfe ltltpos
1192,pfe
1193,pfe trending drug eli lilly rejected fda
1194,pfe trending price action
1195,pfe svb leerink maintains market perform pt httpsstockhootcomextsymbolaspxfromanalystratingtweetampsymbolpfeamptampsocialstocktwits
1196,pfe svb leerink reiterated coverage pfizer new price target httpsquantisnowcominsightss majorpharmaceuticals healthcare
1197,pfe got covid stocks buy hold long term httpdlvritrwpyw
1198,peek markets us stock futures gain ahead economic reports amt pfe lly tsla prgs httpsnewsfilterioaaeadcceafaf
1199,ampe bounce hard pfe news im gonna fucking laugh meant people betting shitty pain meds make oak worse vs product actually relieves symptoms btw think someone posted something safety profile go read ape zero toxicity known dose toxicity made human serum albumin
1200,lackwood mrinvestorpro cfrx additional data came jci regarding study results narrowing focus towards specfic group criteria already shown significant improvement standard antibiotics mrsa getting approval even unique group huge potential one big players like pfe take advantage gobbling small fry biotechs roger significant history working mergers board another company another merger gonna happen staffing designed mega bio sector designed produce drug sell big pharmaceutical firm repeat rinse repeat look history look bring individuals experience mergers late game httpstwittercomcontrafectcorpstatuss
1201,pfe todays day
1202,mrna cant wait see dumbass libs sheep go thru rude awakening thats bound come guess thats happens trust big pharma blindly experimental gene therapy technology pfe
1203,stocks watch march prgs pfe lly codx gan httpsnewsfilterioacaaeeebcbfbdbd
1204,pfe recent reporting quarter institutions made changes position httpsinsideranalysiscomsearchwhalesphptickertablepfe
1205,forward pe valuation pfe described reasonable httpswwwchartmillcomstockanalyzerstockpfeviewfundamentalanalysisampkeyfadbfcaaaamputmsourcestocktwitsamputmmediumfaamputmcontentpfeamputmcampaignsocialtracking
1206,aveo stock x growth potential based conservative analyst price targets httpswwwtiprankscomstocksaveoforecast pfe mrna eyes nasdaq looks like aveo undergoing reversal great upside
1207,sweepcast observed pfe unusual options activity alerted call expiring worth k see profile link amp learn stocks stockmarket options daytrading
1208,pfe short float
1209,bntx pfe mrna cvac quota single immunization boosted neutralizing titers variants sarscov foldquot including b south africa related variant amazing potential mrna technology httpssciencesciencemagorgcontentearlyscienceabgfull
1210,pfe dtcc ruling yesterday regarding stocks shorted however still looking simple summary httpswwwfashionkcomblogsamctothemoonapesstrongertogetherdtccrulingsecdtccrulingamcgmeamcgmeshortsqueezedarkpoolsotcputcallsusa
1211,pfe llyon mar fda panel voted recommending approval tanezumab
1212,pfe got nd pfizer vaccine arm sore
1213,pfe approximately usd go short side pct short bears httpswwwalgowinscomwdtcolumnfilterpfe
1214,pfe lly hint buy ampe osteoarthritis drug soon approved
1215,lly pfe watch guys saw heredont wanna see like stress fda rejection stock shot goes next day
1216,mrinvestorpro agree see pfe completing deal year provided k shares executives get fat options contracts low something points closer may assume shares cfrx im waiting big news
1217,pfe lly pfizer eli lillys osteoarthritis drug rejected fda panel risky httpsnewsfilterioadebfbbecdcfafad
1218,pfizer eli lillys osteoarthritis drug rejected fda panel risky benzinga lly pfe
1219,fold steal current valuation pipeline vertex pharmaceuticals vrtx nvs pfe jnj read httpstheflycomnphpid
1220,ibioinvesttoretire possible remember rd phase asset major unmet market pfizer wants cfrx bad governments barda award million contrafects recent cash raise data pfizer knows knows average person brainer buy fast eliminate multiple offerbid type situation road signs point pfizer buying cfrx since billion dollar pipeline market cap low cash high could monster bid pfe iv trying trying help people get pfizer buys u tell broker u want cash walk away convert hassle folks dont understand big cfrx big opportunity
1221,ogen news today biotech company oragenics preclinical development covid vaccine say would easier administer longerlasting ocgn mrna pfe nvax
1222,ocgn httpstheprintinhealthbharatbiotechscovaxinproductioncouldgouptimeswithhelpfromkarnatakagujaratlabs step aside pfe mrna azn
1223,pfe showed strong bullish pattern today
1224,pfe key news alert pfizer begins testing covid vaccine children article first published thu mar pm utc news items published topic
1225,ogen like line media reporter ogen quotis developing covid vaccine go mouth arm nosequot lol pfe mrna ocgn azn httpswwwabcactionnewscomnewsregionhillsboroughtampabasedbiotechcompanyisworkingoncovidvaccinenasalspray
1226,key milestone pfizer begins testing covid vaccine children pfe bntx mrna jnj httpsnewsfilterioaedbaed
1227,pfe new article key milestone pfizer begins testing covid vaccine children httpswwwstckpronewspfe
1228,mrna tnxp potential target competitor coming months science news hype pfe azn vaccine candidate tnx protected upper lower airways challenge sarscov suggesting ability block forward transmission tnx based proprietary vaccine platform designed stimulate long term cell immunity massive pipeline stage clinical trials underway httpssouthernresearchorgnewssouthernresearchandtonixpharmaceuticalsreportspositivecovidvaccineefficacyresults
1229,pfe bmy tak rotation healthcare incoming
1230,bntx pfe azn nvax mrna oopps seems novavax supply problems serum institute india falls short mio doses delivered covax end april plus couple doses awaited uk az supplies covax also rescheduled march april httpswwwwhointnewsitemcovaxupdatesparticipantsondeliverydelaysforvaccinesfromseruminstituteofindiasiiandastrazeneca
1231,pfe took month fall next week month since hit bottom expect next target months
1232,pfe best one cant wait mine saturday
1233,pfe httpswwwstatnewscompfizerandbiontechtobegintestingcovidvaccineinchildren
1234,pfe uniqure biopharma bv vs pfizer aia trial termination httpsnewsfilterioaffbbbdeaaccd
1235,ocgn pfe mrna httpsinvestorplacecomnvaxstockalertthebigvaccinenewsthathasnovavaxplummeting cant deliver watch herd nvax jump board soon
1236,pfe httpswwwgooglecomampswwwfoolcomampinvestingpfizertodevelopmrnavaccineswithoutbiontech
1237,pfe got pfizer shot bought pfizer stock smart med stock much one vaccine doctor takes deep dive httpswwwyoutubecomwatchvjuxvmzmxb
1238,pfe big trades today shares average
1239,statement acquisition beneficial ownership individuals httpwwwconferencecalltranscriptsorgsummaryid pfe
1240,tracker vaccines made mrna pfe jampj effective mutant strains seeing nd wave people think protected bp wants mutant strains growing expotentially
1241,cfrx part pfizer pfe bought spy
1242,cfrx new folks folks may otherwise persuaded shorts uneducated investors sell valuable shares cheap contrafect real deal guys usually institutions buy companies u see global behemoth like pfe pfizer buy massive part spy
1243,pfe delayed filed form sc ga march httpssflashalertmensa
1244,pfe form sc ga statement acquisition beneficial ownership individuals filed sec httpsnewsfilterioafebbbaebbeeb
1245,nok lost pfe loosing nok loaded shares dollor calls
1246,pfe covid coverup ideopathic democrats pedophiles
1247,pfe good rr vs lod looking breakout holindg
1248,pfe
1249,pfe addng wouldnt money
1250,pfe bullflag daily
1251,pfe
1252,bought verizon vz pfizer pfe cocacola ko today good buys frothy market
1253,daily news digest pfizer pfe httpswsfriendcomdailynewspfe
